FID,LAT,LON,MONTH,DAY
803,13.625,5.875,5,27
804,13.625,6.125,5,27
805,13.625,6.375,5,27
806,13.625,6.625,5,29
807,13.625,6.875,5,29
808,13.625,7.125,5,29
809,13.625,7.375,5,26
810,13.625,7.625,5,26
811,13.625,7.875,5,26
812,13.625,8.125,5,26
813,13.625,8.375,5,29
814,13.625,13.125,6,20
815,13.625,13.375,6,20
816,13.625,13.625,6,19
817,13.625,13.875,6,22
818,13.625,14.125,6,22
819,13.625,14.375,6,22
820,13.625,14.625,6,22
821,13.625,14.875,6,22
822,13.625,15.125,6,22
823,13.625,15.375,6,25
824,13.625,18.625,6,7
825,13.625,19.625,6,4
826,13.625,19.875,6,4
827,13.625,20.125,6,4
828,13.625,20.625,5,29
829,13.625,20.875,5,29
830,13.625,21.125,5,29
831,13.625,21.375,5,28
832,13.625,21.625,5,28
833,13.625,21.875,5,28
834,13.625,22.125,5,28
835,13.625,36.375,5,29
836,13.625,36.625,5,29
837,13.625,36.875,5,28
838,13.625,37.125,5,25
839,13.625,37.625,5,22
840,13.625,37.875,5,22
841,13.625,38.125,5,22
842,13.625,38.375,5,27
843,13.625,38.625,6,2
844,13.625,38.875,5,27
845,13.625,39.125,5,24
846,13.625,39.375,5,26
847,13.625,39.625,5,22
848,13.625,39.875,5,16
849,13.375,-16.875,6,12
850,13.375,-16.625,6,12
851,13.375,-16.375,6,11
852,13.375,-15.875,6,9
853,13.375,-15.625,6,7
854,13.375,-15.375,6,7
855,13.375,-15.125,6,5
856,13.375,-14.875,6,3
857,13.375,-14.625,6,2
858,13.375,-14.375,6,2
859,13.375,-14.125,5,31
860,13.375,-13.875,5,31
861,13.375,-13.625,5,31
862,13.375,-13.375,5,30
863,13.375,-13.125,5,30
864,13.375,-12.875,5,30
865,13.375,-12.375,5,28
866,13.375,-12.125,5,27
867,13.375,-11.875,5,26
868,13.375,-11.625,5,26
869,13.375,-11.375,5,26
870,13.375,-11.125,5,26
871,13.375,-10.875,5,26
872,13.375,-10.625,5,26
873,13.375,-10.375,5,26
874,13.375,-10.125,5,29
875,13.375,-9.875,5,29
876,13.375,-9.625,5,29
877,13.375,-9.375,5,29
878,13.375,-9.125,5,29
879,13.375,-8.875,5,29
880,13.375,-8.625,5,29
881,13.375,-8.375,5,30
882,13.375,-8.125,5,31
883,13.375,-7.875,6,2
884,13.375,-7.625,6,2
885,13.375,-7.375,6,2
886,13.375,-7.125,6,2
887,13.375,-6.875,6,3
888,13.375,-6.625,6,6
889,13.375,-6.375,6,6
890,13.375,-6.125,6,6
891,13.375,-5.875,5,28
892,13.375,-5.625,5,25
893,13.375,-5.375,5,25
894,13.375,-5.125,5,25
895,13.375,-4.875,5,25
896,13.375,-4.625,5,28
897,13.375,-4.375,6,3
898,13.375,-4.125,6,6
899,13.375,-3.875,6,6
900,13.375,-3.625,6,6
901,13.375,-3.375,5,31
902,13.375,-3.125,5,31
903,13.375,-2.875,6,5
904,13.375,-2.625,6,6
905,13.375,-2.375,6,6
906,13.375,-2.125,6,5
907,13.375,-1.875,6,5
908,13.375,-1.625,6,5
909,13.375,-1.375,5,30
910,13.375,-0.875,5,27
911,13.375,-0.125,5,29
912,13.375,0.125,5,23
913,13.375,0.375,5,23
914,13.375,0.625,5,27
915,13.375,0.875,5,27
916,13.375,1.125,5,27
917,13.375,2.125,5,27
918,13.375,2.625,5,27
919,13.375,2.875,5,23
920,13.375,3.125,5,23
921,13.375,3.375,5,23
922,13.375,3.625,5,23
923,13.375,3.875,5,23
924,13.375,6.625,5,27
925,13.375,6.875,5,27
926,13.375,7.125,5,27
927,13.375,7.375,5,26
928,13.375,7.625,5,26
929,13.375,7.875,5,26
930,13.375,8.125,5,26
931,13.375,10.875,6,12
932,13.375,11.125,6,7
933,13.375,11.375,6,19
934,13.375,12.375,6,21
935,13.375,12.625,6,26
936,13.375,12.875,6,26
937,13.375,13.125,6,20
938,13.375,13.375,6,20
939,13.375,13.875,6,13
940,13.375,14.125,6,13
941,13.375,14.375,6,13
942,13.375,14.625,6,13
943,13.375,14.875,6,16
944,13.375,15.125,6,16
945,13.375,15.375,6,16
946,13.375,17.875,6,7
