cellid,y_pred_sim_dif_probT_naive,vcr_sim_probT_naive,cr_sim_probT_naive,vcr_sim_gtP_naive,y_pred_sim_dif_probT_robust,vcr_sim_probT_robust,cr_sim_probT_robust,vcr_sim_gtP_robust,lat,lon,class_nono_probT,class_yesyes_probT,class_type1_probT,class_type2_probT
"4816",".9677560329","6.346760273","7.444277287","1",".8383536339","5.499698639","6.448873997",".9900000095","7.125","-1.625","0","1","0","0"
"4817",".9677560329","6.362442017","7.444277287","1",".4135508537","2.720696926","3.18116045",".8690000176","7.125","-1.375","0","1","0","0"
"4818",".9677560329","6.30982542","7.444277287","1",".3784441948","2.465134382","2.911109209",".8853333592","7.125","-1.125","0","1","0","0"
"4819",".9677560329","6.237931252","7.444277287","1",".318089366","2.051779985","2.44684124",".847333312","7.125","-.875","0","1","0","0"
"4820",".9677560329","6.12280941","7.444277287","1",".577075839","3.647608042","4.439044952",".9369999766","7.125","-.625","0","1","0","0"
"4821",".9677560329","6.013629436","7.444277287","1",".6885517836","4.274735451","5.296552181",".9686666727","7.125","-.375","0","1","0","0"
"4822",".7955236435","4.834259987","6.119412422","1",".2215641737","1.344918251","1.704339743",".7056666613","7.125","-.125","0","1","0","0"
"4824",".7955236435","4.561944962","6.119412422","1",".7362298965","4.226263046","5.66330719",".9443333149","7.125",".375","0","1","0","0"
"4825",".7955236435","4.357536793","6.119412422","1",".8667615652","4.748276234","6.667396545",".9879999757","7.125",".625","0","1","0","0"
"4826",".7955236435","4.191170692","6.119412422","1",".521314621","2.745963335","4.010112762",".8936666846","7.125",".875","0","1","0","0"
"4827",".7955236435","4.040579796","6.119412422","1",".3879601955","1.975077152","2.984309196",".8633333445","7.125","1.125","0","1","0","0"
